0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	 
10 |0	0	0	0	4	11	10	17	5	0	0	1	14	0	0	15	9	9	19	17	3	19	0	16	18	13	12	0	0	6	18	0	10	14	14	0	14	19	14	11	15	0	0	0	0	0	0	7	17	18	17	4	0	2	4	5	14	8	4	15	0	0	5	0	11	15	5	16	0	15	4	5	9	0	0	7	4	13	0	18	2	0	14	14	18	16	18	0	3	0	19	3	0	2	0	0	17	0	1	0	
11 |0	5	10	0	9	0	6	5	6	0	1	0	5	4	1	16	0	17	0	8	6	0	13	4	0	9	0	5	0	18	7	9	0	10	19	2	0	15	0	9	7	19	11	11	8	13	0	1	11	0	0	0	7	0	5	10	0	1	14	0	0	13	9	17	0	1	0	7	10	0	0	0	0	0	0	0	4	0	11	3	13	0	0	0	7	6	4	0	4	0	19	0	8	3	7	0	0	8	6	15	
12 |4	0	11	0	0	0	10	17	7	0	14	5	0	17	18	0	14	13	3	1	14	0	10	19	3	0	5	0	4	12	18	6	9	7	5	0	0	4	15	12	0	4	18	18	14	19	0	0	0	5	4	0	0	16	8	0	5	17	0	8	17	18	2	12	0	0	11	0	9	0	10	0	0	0	4	4	0	17	0	0	17	0	0	13	12	7	9	0	1	0	8	0	0	19	4	10	10	3	17	0	
13 |10	2	12	13	9	5	3	0	16	0	0	4	17	0	5	0	0	5	18	13	2	12	10	0	6	14	8	7	1	0	0	18	0	16	0	0	0	4	0	0	0	0	5	0	18	5	9	0	7	0	12	11	3	4	19	4	0	0	16	0	9	4	18	1	11	0	0	15	0	4	0	14	0	0	10	14	17	14	6	0	0	0	13	11	0	5	0	0	0	19	18	0	0	6	13	16	12	10	16	3	
14 |0	19	7	0	19	14	0	13	5	1	0	1	18	5	0	5	16	0	10	0	15	12	17	3	6	0	11	4	11	0	3	0	14	18	19	10	0	1	14	0	7	3	0	0	0	14	14	14	14	0	0	0	18	0	2	14	6	5	12	0	3	8	0	0	2	7	0	6	0	5	2	5	16	0	0	0	0	15	17	16	12	0	15	10	3	0	12	3	0	0	0	0	0	0	15	0	10	15	0	11	
15 |10	0	11	6	8	0	0	3	13	18	15	16	0	0	5	0	1	0	10	15	0	0	7	3	6	0	0	14	3	0	11	13	10	12	9	0	4	2	2	13	0	0	0	6	13	14	12	1	19	5	5	11	5	0	10	0	0	12	7	0	0	5	0	0	0	6	15	0	17	0	3	6	13	1	6	0	0	7	10	7	0	0	0	10	9	0	19	12	10	0	0	0	6	0	0	16	8	10	15	6	
16 |19	6	19	14	4	0	9	0	0	6	9	0	14	0	16	1	0	0	14	0	4	15	7	1	9	16	8	0	19	0	3	16	6	19	2	0	0	9	0	2	12	14	0	18	0	14	1	8	3	0	14	16	1	0	0	0	2	8	0	2	10	0	13	15	10	0	0	0	11	0	3	0	0	16	19	5	0	12	7	0	5	3	1	12	6	14	7	13	8	7	0	3	1	8	0	7	0	12	0	10	
17 |10	19	15	0	1	0	13	0	8	4	9	17	13	5	0	0	0	0	0	0	0	8	17	16	11	0	3	8	9	19	0	5	0	13	0	0	0	0	0	16	9	0	0	15	7	0	2	0	12	7	0	14	6	19	15	15	4	11	0	0	5	7	19	19	19	12	19	0	4	0	17	0	1	16	0	15	10	1	0	0	0	0	4	0	5	19	13	0	0	10	0	0	0	15	0	11	6	4	19	0	
18 |0	0	16	16	13	13	19	12	5	2	19	0	3	18	10	10	14	0	0	19	0	17	0	0	17	0	0	11	16	8	4	0	0	0	0	0	13	4	0	18	16	8	17	11	18	0	14	0	0	2	2	0	0	0	3	0	19	19	0	0	16	11	17	8	17	0	12	6	0	0	10	19	5	0	7	0	1	0	0	9	14	0	7	10	7	9	8	18	16	1	10	15	9	0	0	1	13	16	19	7	
19 |15	5	9	0	9	4	17	0	12	0	17	8	1	13	0	15	0	0	19	0	9	12	0	0	0	1	6	0	0	13	0	7	12	9	0	0	9	0	14	17	0	0	13	19	8	11	7	15	17	0	6	0	0	0	8	0	0	0	0	8	0	0	0	15	0	3	0	1	4	17	9	0	0	0	5	0	11	0	0	0	4	0	3	0	18	0	16	0	8	6	16	13	2	7	2	0	6	14	14	16	
20 |3	12	1	13	16	4	9	0	7	7	3	6	14	2	15	0	4	0	0	9	0	10	0	16	17	6	0	5	0	6	11	15	17	7	0	19	0	0	15	0	3	3	0	11	5	4	0	0	16	10	2	5	5	6	0	0	8	7	10	11	6	0	0	0	0	15	19	18	0	17	15	0	14	0	17	0	15	0	0	0	0	2	1	0	0	3	5	1	0	0	16	0	0	19	0	3	0	11	3	0	
21 |1	5	11	2	0	4	14	5	6	0	19	0	0	12	12	0	15	8	17	12	10	0	0	14	8	0	10	9	12	2	10	15	0	12	3	0	1	6	14	0	18	6	7	5	0	4	1	5	0	0	0	13	7	0	0	0	13	14	17	13	19	0	0	0	19	4	17	0	5	2	0	3	10	19	14	3	19	12	1	1	5	3	0	16	2	19	0	0	2	14	18	0	17	10	17	0	0	1	0	0	
22 |0	17	0	0	0	0	18	0	15	16	0	13	10	10	17	7	7	17	0	0	0	0	0	0	0	0	18	7	13	6	0	8	5	14	1	0	0	2	14	16	0	0	8	8	6	0	14	12	16	0	7	0	12	0	14	18	0	6	15	16	10	0	10	0	14	0	8	3	17	0	7	3	0	19	17	17	0	2	13	14	0	1	12	16	19	10	0	17	6	8	0	14	0	10	9	8	10	18	11	0	
23 |10	2	14	10	13	11	0	4	5	4	16	4	19	0	3	3	1	16	0	0	16	14	0	0	0	13	0	19	19	0	11	0	5	0	0	10	16	0	0	5	0	1	0	0	18	11	19	5	0	0	3	13	15	0	11	4	0	11	0	14	0	12	0	0	0	9	0	5	0	0	5	10	7	17	11	13	15	10	9	19	0	8	0	2	0	12	7	16	0	6	6	0	10	0	2	10	0	8	9	0	
24 |0	6	8	12	18	11	0	0	0	17	18	0	3	6	6	6	9	11	17	0	17	8	0	0	0	3	0	0	1	0	1	0	16	2	0	0	0	9	19	0	17	15	0	0	14	0	10	6	17	17	12	4	8	5	0	0	0	11	2	10	18	0	8	0	3	0	10	0	4	12	13	0	18	17	0	0	12	5	16	8	8	2	3	6	11	8	6	7	0	3	14	0	0	2	0	0	0	14	0	0	
25 |1	0	11	8	0	0	0	8	0	12	13	9	0	14	0	0	16	0	0	1	6	0	0	13	3	0	0	0	4	6	4	0	0	16	0	0	5	12	18	0	0	7	3	0	0	9	17	10	16	8	16	2	10	0	13	16	15	0	7	9	14	5	0	0	0	0	8	12	0	14	12	15	15	12	0	7	0	0	0	8	0	0	0	8	0	0	0	2	5	5	2	8	6	0	0	0	0	0	13	7	
26 |3	11	12	3	0	11	0	0	0	7	12	0	5	8	11	0	8	3	0	6	0	10	18	0	0	0	0	0	8	3	15	6	0	0	7	16	13	2	0	0	0	18	10	0	8	13	16	14	2	8	17	0	19	0	0	2	4	0	9	14	0	2	4	5	12	8	0	12	0	12	0	14	6	10	6	0	11	10	7	0	0	11	5	5	0	18	9	17	0	12	0	19	3	1	1	0	15	0	18	0	
27 |0	3	0	3	0	17	0	1	7	19	0	5	0	7	4	14	0	8	11	0	5	9	7	19	0	0	0	0	19	0	0	0	0	11	0	18	0	0	12	17	0	0	8	0	13	1	0	16	0	11	2	8	9	3	17	0	5	5	19	0	2	5	1	17	5	6	3	11	2	18	4	8	12	0	0	4	0	0	11	0	9	2	5	15	0	3	10	0	13	0	4	0	6	11	12	19	1	7	7	14	
28 |6	0	0	0	10	2	4	0	0	0	0	0	4	1	11	3	19	9	16	0	0	12	13	19	1	4	8	19	0	18	18	10	0	0	6	13	17	5	12	11	0	0	16	0	10	13	13	0	18	0	0	0	0	18	15	2	14	0	0	1	6	8	0	9	10	0	19	19	14	17	11	3	0	13	0	0	19	17	7	1	0	0	0	0	18	10	12	1	0	13	0	8	3	0	16	13	8	10	6	15	
29 |17	7	9	2	5	4	13	0	6	0	6	18	12	0	0	0	0	19	8	13	6	2	6	0	0	6	3	0	18	0	9	12	15	1	2	0	0	19	8	7	8	18	17	0	1	8	0	16	4	7	0	9	3	14	6	7	0	0	0	11	18	11	15	5	2	4	0	0	18	12	0	11	1	0	12	0	9	0	9	16	8	0	12	0	0	0	0	6	2	19	14	7	0	10	19	0	0	16	12	8	
30 |0	0	7	2	7	1	3	0	0	0	18	7	18	0	3	11	3	0	4	0	11	10	0	11	1	4	15	0	18	9	0	5	0	0	0	13	12	18	0	6	0	6	8	19	14	11	0	0	0	17	12	0	13	12	14	15	0	0	16	0	0	0	15	11	13	0	3	4	0	10	2	0	13	13	0	0	17	15	0	17	7	4	0	13	0	0	10	0	0	16	4	5	0	0	0	13	0	0	2	18	
31 |0	6	2	17	0	8	1	6	8	1	0	9	6	18	0	13	16	5	0	7	15	15	8	0	0	0	6	0	10	12	5	0	13	0	0	8	10	2	3	18	0	0	3	0	1	0	0	0	14	16	9	17	8	16	15	19	0	0	0	11	0	2	0	3	0	7	0	0	17	19	6	16	0	3	12	5	0	3	2	0	15	0	0	0	0	17	0	0	13	0	4	0	9	0	16	0	0	6	7	10	
32 |13	0	0	12	14	14	0	10	18	1	10	0	9	0	14	10	6	0	0	12	17	0	5	5	16	0	0	0	0	15	0	13	0	0	10	18	1	0	8	0	4	13	8	0	9	3	0	5	0	3	0	1	0	0	2	0	16	19	0	15	9	10	14	13	12	0	16	0	12	15	7	1	3	6	16	11	7	0	10	18	19	16	0	18	12	0	16	10	0	0	13	0	13	7	12	16	4	7	2	1	
33 |11	0	6	4	4	15	12	13	0	0	14	10	7	16	18	12	19	13	0	9	7	12	14	0	2	16	0	11	0	1	0	0	0	0	12	17	0	0	8	19	0	17	14	9	11	14	13	11	16	11	0	4	12	0	6	4	19	0	0	0	9	6	17	1	4	5	13	0	0	0	0	11	12	16	14	12	0	7	11	3	9	6	9	1	0	5	0	0	0	4	15	0	0	0	0	14	14	16	4	14	
34 |6	0	0	0	0	0	8	0	19	10	14	19	5	0	19	9	2	0	0	0	0	3	1	0	0	0	7	0	6	2	0	0	10	12	0	0	11	15	11	6	12	4	19	2	11	12	0	0	12	10	2	3	2	13	4	13	0	16	16	0	4	5	18	0	6	0	16	12	19	15	18	0	0	19	7	14	10	6	5	5	0	16	19	0	19	0	0	15	11	10	2	19	10	2	0	1	15	19	5	0	
35 |16	0	11	15	0	11	0	0	19	0	0	2	0	0	10	0	0	0	0	0	19	0	0	10	0	0	16	18	13	0	13	8	18	17	0	0	5	4	0	8	17	9	7	9	0	7	0	0	0	12	0	9	2	16	11	11	2	4	12	0	0	0	19	8	9	4	15	17	2	13	0	8	18	8	11	4	19	13	0	0	0	12	5	15	0	0	8	6	0	0	0	0	8	1	15	11	0	6	0	16	
36 |9	7	12	18	0	0	17	12	0	7	14	0	0	0	0	4	0	0	13	9	0	1	0	16	0	5	13	0	17	0	12	10	1	0	11	5	0	16	19	0	9	18	17	0	0	0	8	0	3	0	0	6	0	18	12	18	16	0	9	6	0	10	12	5	0	0	0	9	0	0	1	6	9	19	9	0	0	12	6	15	0	0	1	3	0	18	0	13	17	0	19	0	13	2	14	2	0	10	16	4	
37 |9	19	16	8	0	8	12	0	12	0	19	15	4	4	1	2	9	0	4	0	0	6	2	0	9	12	2	0	5	19	18	2	0	0	15	4	16	0	0	0	0	0	14	17	0	0	6	4	0	12	0	0	0	6	4	0	13	9	0	13	9	15	3	1	11	0	0	9	0	0	7	14	17	11	10	16	11	0	3	2	11	12	7	0	18	17	0	12	0	4	0	10	12	2	0	0	3	19	16	8	
38 |19	0	5	3	0	0	19	0	0	0	14	0	15	0	14	2	0	0	0	14	15	14	14	0	19	18	0	12	12	8	0	3	8	8	11	0	19	0	0	0	0	0	0	0	10	19	16	7	11	8	5	4	19	0	15	18	8	3	0	15	0	0	0	19	14	18	12	2	19	0	12	4	4	0	5	8	8	2	0	11	9	0	0	7	5	0	0	12	0	7	0	7	15	10	16	6	11	16	0	15	
39 |0	17	11	0	4	5	8	6	0	7	11	9	12	0	0	13	2	16	18	17	0	0	16	5	0	0	0	17	11	7	6	18	0	19	6	8	0	0	0	0	0	17	0	10	18	16	5	0	4	13	15	0	6	11	0	5	0	0	0	7	7	0	0	15	18	5	0	1	14	0	0	0	0	0	0	0	10	0	18	8	18	10	2	8	0	10	4	12	0	8	0	0	2	0	0	0	0	15	0	16	
40 |0	4	0	17	11	7	0	6	0	1	15	7	0	0	7	0	12	9	16	0	3	18	0	0	17	0	0	0	0	8	0	0	4	0	12	17	9	0	0	0	0	5	2	0	15	1	11	3	13	0	0	9	0	0	2	0	0	14	0	11	0	9	14	19	0	15	1	5	13	7	0	17	1	0	14	4	0	0	0	0	11	0	19	13	0	4	13	5	13	0	14	5	0	0	8	11	9	13	0	13	
41 |8	2	4	9	10	0	0	0	15	16	0	19	4	0	3	0	14	0	8	0	3	6	0	1	15	7	18	0	0	18	6	0	13	17	4	9	18	0	0	17	5	0	3	5	0	13	7	14	4	9	4	13	0	4	14	4	0	16	7	12	0	6	16	19	17	2	0	11	18	5	19	3	0	0	0	4	0	8	1	13	17	15	0	9	19	0	0	6	4	11	8	0	15	0	15	0	11	15	15	0	
42 |6	19	0	0	4	9	5	2	0	17	0	11	18	5	0	0	0	0	17	13	0	7	8	0	0	3	10	8	16	17	8	3	8	14	19	7	17	14	0	0	2	3	0	3	15	0	0	0	6	5	0	0	0	3	15	5	14	14	0	8	5	0	17	7	0	5	0	0	6	16	9	0	0	0	4	5	14	12	6	19	4	15	13	15	6	5	0	19	17	5	0	16	0	0	4	8	9	1	19	17	
43 |8	9	0	9	13	13	19	0	2	11	0	11	18	0	0	6	18	15	11	19	11	5	8	0	0	0	0	0	0	0	19	0	0	9	2	9	0	17	0	10	0	5	3	0	14	6	0	16	15	0	18	0	11	11	0	17	1	8	3	2	0	0	19	0	17	14	0	19	11	0	0	1	13	6	1	10	1	0	5	0	14	9	14	0	2	0	15	13	17	0	1	13	16	0	0	8	0	19	0	4	
44 |0	3	0	11	13	0	3	0	4	9	0	8	14	18	0	13	0	7	18	8	5	0	6	18	14	0	8	13	10	1	14	1	9	11	11	0	0	0	10	18	15	0	15	14	0	0	0	0	0	9	12	17	11	0	16	16	7	9	11	0	5	13	12	0	7	14	0	0	0	11	14	0	14	9	4	8	0	8	18	0	0	7	16	7	18	3	8	0	0	0	5	0	11	0	0	0	10	5	0	0	
45 |15	0	19	4	19	10	6	0	8	17	0	13	19	5	14	14	14	0	0	11	4	4	0	11	0	9	13	1	13	8	11	0	3	14	12	7	0	0	19	16	1	13	0	6	0	0	0	0	0	16	4	10	0	16	15	0	3	0	7	0	0	3	0	8	0	13	5	15	1	0	4	14	18	7	6	0	0	11	4	0	19	0	0	0	1	0	14	5	0	0	10	4	1	0	8	0	0	0	0	5	
46 |17	8	9	0	5	0	15	0	0	13	0	0	0	9	14	12	1	2	14	7	0	1	14	19	10	17	16	0	13	0	0	0	0	13	0	0	8	6	16	5	11	7	0	0	0	0	0	0	0	17	17	7	18	17	0	9	0	14	17	9	0	2	0	15	5	14	4	0	0	1	0	16	18	10	3	6	15	0	10	0	18	7	1	14	9	0	6	0	9	3	0	0	5	0	2	0	0	11	16	0	
47 |14	0	0	11	12	15	7	0	12	0	7	1	0	0	14	1	8	0	0	15	0	5	12	5	6	10	14	16	0	16	0	0	5	11	0	0	0	4	7	0	3	14	0	16	0	0	0	0	8	17	8	3	0	2	9	17	19	19	18	2	0	14	0	19	7	0	10	9	11	7	15	17	0	0	0	0	3	0	12	0	0	16	12	0	14	0	0	0	0	9	17	10	15	9	0	4	0	6	17	4	
48 |14	4	5	0	18	11	0	18	15	0	17	11	0	7	14	19	3	12	0	17	16	0	16	0	17	16	2	0	18	4	0	14	0	16	12	0	3	0	11	4	13	4	6	15	0	0	0	8	0	0	9	0	17	0	13	9	12	12	0	14	0	0	2	4	16	3	0	0	16	7	0	13	1	19	0	9	15	0	0	15	17	16	18	19	0	0	16	0	15	13	1	4	0	10	16	0	15	0	8	0	
49 |2	16	7	7	0	0	0	4	0	0	18	0	5	0	0	5	0	7	2	0	10	0	0	0	17	8	8	11	0	7	17	16	3	11	10	12	0	12	8	13	0	9	5	0	9	16	17	17	0	0	13	18	11	12	8	2	7	0	4	14	8	0	14	0	8	2	3	14	4	0	8	0	14	7	14	1	3	8	17	9	0	2	13	0	16	13	0	0	0	0	15	0	9	0	6	0	1	0	5	0	
50 |0	0	7	13	18	7	13	17	0	19	17	0	4	12	0	5	14	0	2	6	2	0	7	3	12	16	17	2	0	0	12	9	0	0	2	0	0	0	5	15	0	4	0	18	12	4	17	8	9	13	0	9	1	8	15	0	18	0	16	13	0	8	8	10	5	6	10	0	6	13	6	0	0	16	15	14	0	8	0	0	10	3	1	18	5	18	19	0	18	10	19	0	18	15	0	1	3	1	0	0	
51 |0	5	0	13	0	0	10	0	4	2	4	0	0	11	0	11	16	14	0	0	5	13	0	13	4	2	0	8	0	9	0	17	1	4	3	9	6	0	4	0	9	13	0	0	17	10	7	3	0	18	9	0	0	1	9	19	17	2	9	9	7	18	1	7	10	0	19	0	12	0	12	0	0	14	5	12	8	0	0	13	18	0	12	4	0	0	2	17	16	0	19	0	17	2	4	0	0	1	1	18	
52 |7	15	0	18	0	5	0	4	1	7	0	7	0	3	18	5	1	6	0	0	5	7	12	15	8	10	19	9	0	3	13	8	0	12	2	2	0	0	19	6	0	0	0	11	11	0	18	0	17	11	1	0	0	0	4	13	0	2	5	0	0	17	0	3	7	4	12	4	0	8	14	15	0	6	0	8	10	2	16	9	0	0	0	3	18	11	9	0	2	16	0	19	1	0	9	18	0	0	17	5	
53 |0	1	0	15	6	0	0	10	1	14	2	0	16	4	0	0	0	19	0	0	6	0	0	0	5	0	0	3	18	14	12	16	0	0	13	16	18	6	0	11	0	4	3	11	0	16	17	2	0	12	8	1	0	0	0	0	0	0	0	12	0	2	3	5	13	1	17	0	0	0	17	18	0	16	17	0	9	0	0	0	3	0	12	10	4	0	12	0	19	0	0	14	13	0	11	2	16	3	12	0	
54 |17	7	0	14	13	7	5	12	0	0	4	5	8	19	2	10	0	15	3	8	0	0	14	11	0	13	0	17	15	6	14	15	2	6	4	11	12	4	15	0	2	14	15	0	16	15	0	9	13	8	15	9	4	0	0	0	0	0	2	1	0	15	0	18	0	0	5	8	0	12	4	0	11	10	17	15	9	0	7	0	8	17	8	4	6	0	0	8	0	10	0	0	0	7	0	0	0	12	17	15	
55 |4	8	7	13	17	0	1	3	16	7	5	10	0	4	14	0	0	15	0	0	0	0	18	4	0	16	2	0	2	7	15	19	0	4	13	11	18	0	18	5	0	4	5	17	16	0	9	17	9	2	0	19	13	0	0	0	16	8	11	9	3	8	4	7	0	14	9	0	0	15	0	0	9	13	1	10	10	10	19	0	10	10	9	3	0	9	0	0	0	2	14	15	6	9	16	0	12	0	0	11	
56 |0	15	0	0	16	0	19	7	19	0	14	0	5	0	6	0	2	4	19	0	8	13	0	0	0	15	4	5	14	0	0	0	16	19	0	2	16	13	8	0	0	0	14	1	7	3	0	19	12	7	18	17	0	0	0	16	0	0	18	0	1	0	12	1	4	15	0	0	11	0	4	0	16	15	14	0	17	0	0	0	0	1	2	0	0	6	12	18	10	0	1	3	0	0	0	14	0	0	9	0	
57 |0	12	9	13	11	6	0	0	18	0	8	1	17	0	5	12	8	11	19	0	7	14	6	11	11	0	0	5	0	0	0	0	19	0	16	4	0	9	3	0	14	16	14	8	9	0	14	19	12	0	0	2	2	0	0	8	0	0	11	0	0	6	0	9	0	3	18	15	4	4	0	17	14	0	0	2	0	1	7	0	16	6	9	10	10	0	0	17	12	0	12	0	2	10	0	4	3	11	14	19	
58 |2	18	0	9	0	0	17	0	0	4	4	14	0	16	12	7	0	0	0	0	10	17	15	0	2	7	9	19	0	0	16	0	0	0	16	12	9	0	0	0	0	7	0	3	11	7	17	18	0	4	16	9	5	0	2	11	18	11	0	1	1	0	0	4	0	10	0	0	0	0	0	0	2	7	6	16	0	0	6	17	0	7	2	18	18	15	11	12	7	12	7	0	5	6	0	0	2	2	10	0	
59 |0	1	0	0	19	9	4	1	16	0	15	0	8	0	0	0	2	0	0	8	11	13	16	14	10	9	14	0	1	11	0	11	15	0	0	0	6	13	15	7	11	12	8	2	0	0	9	2	14	14	13	9	0	12	1	9	0	0	1	0	0	11	0	0	3	1	18	15	12	8	16	5	6	0	18	0	0	13	11	14	16	18	4	5	0	14	0	0	0	0	8	10	14	13	0	0	4	18	0	5	
60 |0	4	3	6	16	14	0	18	8	2	0	0	17	9	3	0	10	5	16	0	6	19	10	0	18	14	0	2	6	18	0	0	9	9	4	0	0	9	0	7	0	0	5	0	5	0	0	0	0	8	0	7	0	0	0	3	1	0	1	0	0	0	4	2	16	0	14	13	0	9	0	0	0	19	1	14	5	1	15	11	0	19	0	0	15	0	13	14	11	8	2	0	0	13	8	7	0	17	4	0	
61 |0	8	2	0	0	0	7	17	6	8	0	13	18	4	8	5	0	7	11	0	0	0	0	12	0	5	2	5	8	11	0	2	10	6	5	0	10	15	0	0	9	6	0	0	13	3	2	14	0	0	8	18	17	2	15	8	0	6	0	11	0	0	13	0	19	0	17	0	0	0	0	7	5	14	0	11	0	9	7	4	13	13	0	14	0	10	12	5	4	12	0	1	0	8	0	18	15	10	11	14	
62 |0	8	17	0	19	0	0	1	4	0	5	9	2	18	0	0	13	19	17	0	0	0	10	0	8	0	4	1	0	15	15	0	14	17	18	19	12	3	0	0	14	16	17	19	12	0	0	0	2	14	8	1	0	3	0	4	12	0	0	0	4	13	0	0	0	0	0	6	13	2	8	11	9	16	0	14	0	7	11	0	3	19	0	15	3	0	12	0	14	14	4	14	0	9	0	0	7	14	9	5	
63 |0	2	0	0	17	18	0	3	5	16	0	17	12	1	0	0	15	19	8	15	0	0	0	0	0	0	5	17	9	5	11	3	13	1	0	8	5	1	19	15	19	19	7	0	0	8	15	19	4	0	10	7	3	5	18	7	1	9	4	0	2	0	0	0	1	0	18	0	12	0	0	3	0	0	13	0	11	0	3	12	0	0	1	10	18	11	18	0	4	9	7	14	9	9	0	0	15	13	0	0	
64 |4	0	0	0	3	0	0	11	16	15	11	0	0	11	2	0	10	19	17	0	0	19	14	0	3	0	12	5	10	2	13	0	12	4	6	9	0	11	14	18	0	17	0	17	7	0	5	7	16	8	5	10	7	13	0	0	4	0	0	3	16	19	0	1	0	17	0	13	0	8	8	0	11	4	3	16	10	0	12	18	17	0	9	3	0	7	12	16	15	14	2	0	18	11	12	0	3	11	0	0	
65 |0	0	0	13	0	0	16	0	0	13	15	1	0	0	7	6	0	12	0	3	15	4	0	9	0	0	8	6	0	4	0	7	0	5	0	4	0	0	18	5	15	2	5	14	14	13	14	0	3	2	6	0	4	1	0	14	15	3	10	1	0	0	0	0	17	0	0	0	0	0	0	19	11	3	17	16	6	14	14	16	0	2	0	0	0	17	17	16	12	17	15	0	14	5	12	15	0	15	15	6	
